"id","name_category","category_alias","time_create"
1,"nệm & giường ngủ","nem-va-giuong-ngu","2017-09-10"
2,"ghế đôn & ghế dài","ghe-don-va-ghe-dai","2017-09-10"
3,"đồ trang trí","do-trang-tri","2017-09-10"
4,"bàn ghế văn phòng","ban-ghe-van-phong","2017-09-10"
5,"dụng cụ nhà bếp","dung-cu-nha-bep","2017-09-10"
6,"nội thất bếp","noi-that-bep","2017-09-10"
7,"đèn","den","2017-09-10"
8,"gương","guong","2017-09-10"
9,"thảm trang trí","tham-trang-tri","2017-09-10"
10,"phòng tắm & giặt ủi","phong-tam-va-giat-ui","2017-09-10"
11,"sofa & ghế phòng khách","sofa-va-ghe-phong-khach","2017-09-10"
12,"đồ lưu trữ","do-luu-tru","2017-09-10"
13,"bàn","ban","2017-09-10"
14,"đồ dùng bàn ăn","do-dung-ban-an","2017-09-10"
15,"đồ dùng vải & gỗi","do-dung-vai-va-go","2017-09-10"
16,"kệ cho tv & thiết bị điện tử","ke-cho-tv-va-thiet-bi-dien-tu","2017-09-10"
17,"tủ quần áo & tiện ích phòng ngủ","tu-quan-ao-va-tien-ich-phong-ngu","2017-09-10"
